Model: ,Oscilloscope MSO6014A,
Serial Number:,MY50340123,
Address: ,GPIB0::7::INSTR,
Date: ,8/5/2016 13:38,
,,
Sample Number,Time (s),1 (VOLT)
897,7.92E-06,170
898,7.94E-06,18
899,7.96E-06,-148
900,7.98E-06,-273
901,8.00E-06,-362
902,8.02E-06,-416
903,8.04E-06,-429
904,8.06E-06,-401
905,8.08E-06,-338
906,8.10E-06,-258
907,8.12E-06,-180
908,8.14E-06,-92
909,8.16E-06,4
910,8.18E-06,94
911,8.20E-06,163
912,8.22E-06,191
913,8.24E-06,213
914,8.26E-06,251
915,8.28E-06,259
916,8.30E-06,215
917,8.32E-06,155
918,8.34E-06,95
919,8.36E-06,81
920,8.38E-06,97
921,8.40E-06,112
922,8.42E-06,101
923,8.44E-06,69
924,8.46E-06,9
925,8.48E-06,-65
926,8.50E-06,-147
927,8.52E-06,-229
928,8.54E-06,-300
929,8.56E-06,-347
930,8.58E-06,-373
931,8.60E-06,-372
932,8.62E-06,-332
933,8.64E-06,-256
934,8.66E-06,-167
935,8.68E-06,-45
936,8.70E-06,127
937,8.72E-06,285
938,8.74E-06,394
939,8.76E-06,457
940,8.78E-06,494
941,8.80E-06,500
942,8.82E-06,448
943,8.84E-06,330
944,8.86E-06,201
945,8.88E-06,58
946,8.90E-06,-134
947,8.92E-06,-313
948,8.94E-06,-445
949,8.96E-06,-520
950,8.98E-06,-532
951,9.00E-06,-492
952,9.02E-06,-402
953,9.04E-06,-260
954,9.06E-06,-100
955,9.08E-06,92
956,9.10E-06,255
957,9.12E-06,372
958,9.14E-06,454
959,9.16E-06,485
960,9.18E-06,444
961,9.20E-06,344
962,9.22E-06,214
963,9.24E-06,72
964,9.26E-06,-39
965,9.28E-06,-116
966,9.30E-06,-178
967,9.32E-06,-228
968,9.34E-06,-267
969,9.36E-06,-262
970,9.38E-06,-208
971,9.40E-06,-133
972,9.42E-06,-47
973,9.44E-06,6
974,9.46E-06,40
975,9.48E-06,73
976,9.50E-06,100
977,9.52E-06,106
978,9.54E-06,106
979,9.56E-06,89
980,9.58E-06,72
981,9.60E-06,39
982,9.62E-06,-7
983,9.64E-06,-37
984,9.66E-06,-36
985,9.68E-06,-12
986,9.70E-06,27
987,9.72E-06,70
988,9.74E-06,117
989,9.76E-06,148
990,9.78E-06,145
991,9.80E-06,112
992,9.82E-06,63
993,9.84E-06,-13
994,9.86E-06,-92
995,9.88E-06,-151
996,9.90E-06,-180
997,9.92E-06,-174
998,9.94E-06,-153
999,9.96E-06,-134
1000,9.98E-06,-112
